DOID	MeSH
DOID:0111041	C563008
DOID:0111043	C567809
DOID:0111044	D055652
DOID:0111049	D055652
DOID:0111050	C536260
DOID:0111052	C563120
DOID:0111054	D056729
DOID:0111060	C536605
DOID:0111065	C535715
DOID:0111068	C535444
DOID:0111069	C535443
DOID:0111070	C566340
DOID:0111071	C535442
DOID:0111072	C536106
DOID:0111075	C564202
DOID:0111076	C567037
DOID:0111077	C564858
DOID:0111078	D049310
DOID:0111079	D000080365
DOID:0111103	C563451
DOID:0111113	C566582
DOID:0111114	C565780
DOID:0111115	C564640
DOID:0111116	C566930
DOID:0111129	C565831
DOID:0111130	C567687
DOID:0111139	C565128
DOID:0111144	C563032
DOID:0111147	D007119
DOID:0111148	C536184
DOID:0111148	D004479
DOID:0111151	D000788
DOID:0111152	C537372
DOID:0111154	D054972
DOID:0111157	C536362
DOID:0111157	D005871
DOID:0111158	D000130
DOID:0111160	C537975
DOID:0111162	C580062
DOID:0111163	C565373
DOID:0111164	C565372
DOID:0111165	C535811
DOID:0111166	C565374
DOID:0111168	C562657
DOID:0111169	D054221
DOID:0111180	C537004
DOID:0111196	C564506
DOID:0111200	C566675
DOID:0111203	C563443
DOID:0111206	C580044
DOID:0111211	C564626
DOID:0111213	C567023
DOID:0111217	D020914
DOID:0111218	C565561
DOID:0111219	C566594
DOID:0111220	C562934
DOID:0111225	D020914
DOID:0111227	C579991
DOID:0111228	C566236
DOID:0111243	C535662
DOID:0111244	C537050
DOID:0111245	C535336
DOID:0111246	D000690
DOID:0111247	C537095
DOID:0111248	C562538
DOID:0111249	C535971
DOID:0111252	D016518
DOID:0111253	D009456
DOID:0111254	C536833
DOID:0111255	C538159
DOID:0111256	C538137
DOID:0111257	C536836
DOID:0111258	C536652
DOID:0111259	C537680
DOID:0111260	C567064
DOID:0111261	C538191
DOID:0111263	C580002
DOID:0111265	C565850
DOID:0111266	C537799
DOID:0111270	C538141
DOID:0111271	C536554
DOID:0111272	C537860
DOID:0111273	C537396
DOID:0111274	C536434
DOID:0111276	C537583
DOID:0111277	C566945
DOID:0111295	C567827
DOID:0111329	C566449
DOID:0111330	C567125
DOID:0111336	C536453
DOID:0111337	C537559
DOID:0111339	C536457
DOID:0111341	C565114
DOID:0111342	C535374
DOID:0111343	C537878
DOID:0111345	C536979
DOID:0111346	C535959
DOID:0111347	C562638
DOID:0111348	C565046
DOID:0111349	C535944
DOID:0111350	C535689
DOID:0111355	C565504
DOID:0111358	C537062
DOID:0111359	C536819
DOID:0111361	C564327
DOID:0111362	C535845
DOID:0111367	C564185
DOID:0111369	C564591
DOID:0111370	C566270
DOID:0111374	C564154
DOID:0111375	C536647
DOID:0111381	C535544
DOID:0111382	C535540
DOID:0111382	C536307
DOID:0111383	C537022
DOID:0111389	D008059
DOID:0111390	D008059
DOID:0111391	D009085
DOID:0111392	D009085
DOID:0111393	D009084
DOID:0111394	D009084
DOID:0111395	D009084
DOID:0111397	D000742
DOID:0111401	D000742
DOID:0111402	D009084
DOID:0111404	C000596385
DOID:0111408	C567648
DOID:0111409	C565297
DOID:0111411	C566619
DOID:0111412	C536382
DOID:0111414	C565627
DOID:0111418	D008072
DOID:0111433	C537128
DOID:0111435	C537127
DOID:0111437	C567833
DOID:0111438	C537126
DOID:0111440	C565343
DOID:0111444	D020191
DOID:0111446	C567095
DOID:0111454	C537327
DOID:0111455	C537934
DOID:0111456	C537013
DOID:0111458	D005693
DOID:0111459	D005693
DOID:0111473	C567126
DOID:0111474	C563797
DOID:0111483	C566468
DOID:0111486	C566467
DOID:0111494	C565690
DOID:0111504	C563755
DOID:0111505	C536152
DOID:0111506	C536164
DOID:0111507	C537115
DOID:0111508	C563627
DOID:0111509	C537710
DOID:0111510	C536025
DOID:0111511	C536149
DOID:0111512	C562938
DOID:0111514	C537356
DOID:0111526	C567186
DOID:0111527	C537563
DOID:0111528	C538331
DOID:0111529	C535816
DOID:0111531	D000080344
DOID:0111532	C536050
DOID:0111533	C536039
DOID:0111534	C567171
DOID:0111535	C562735
